diet_tag,ingredient_type,ingredient,ingredient_share,country_of_origin,custom_yield_kg_ha
diet_dairy_calves_replacement_north,concentrate,corn_national,42.7,Spain,
diet_dairy_calves_replacement_north,concentrate,corn_gluten_feed_20_5_cp,0,,
diet_dairy_calves_replacement_north,concentrate,barley_2_rows_national_11_3_cp,0,Spain,
diet_dairy_calves_replacement_north,concentrate,wheat_soft_national_12_9_cp,0,Spain,
diet_dairy_calves_replacement_north,concentrate,wheat_middlings_25_starch,0,,
diet_dairy_calves_replacement_north,concentrate,soybean_meal_44_cp,0,,
diet_dairy_calves_replacement_north,concentrate,soybean_meal_47_cp,0,,
diet_dairy_calves_replacement_north,concentrate,soybean_hulls_12_cp,0,,
diet_dairy_calves_replacement_north,concentrate,rapeseed_meal_00_33_cp,0,,
diet_dairy_calves_replacement_north,concentrate,sunflower_meal_32_cp,55.6,,
diet_dairy_calves_replacement_north,concentrate,oat_hulls,0,,
diet_dairy_calves_replacement_north,concentrate,beet_pulp_4_ash,0,,
diet_dairy_calves_replacement_north,concentrate,molasses_beet,0,,
diet_dairy_calves_replacement_north,concentrate,cotton_seed_whole,0,,
diet_dairy_calves_replacement_north,concentrate,brewers_grains,0,,
diet_dairy_calves_replacement_north,concentrate,brewery_yeast,0,,
diet_dairy_calves_replacement_north,concentrate,sodium_bicarbonate,1.7,,
diet_dairy_calves_replacement_north,concentrate,calcium_carbonate,0,,
diet_dairy_calves_replacement_north,concentrate,sodium_chloride_mine_92,0,,
diet_dairy_calves_replacement_north,concentrate,potassium_carbonate,0,,
diet_dairy_calves_replacement_north,concentrate,sodium_sulfate,0,,
diet_dairy_calves_replacement_north,concentrate,Vitamin/mineral_supplement,0,,
diet_dairy_calves_replacement_north,concentrate,mg_oxide_calcined_magnesite,0,,
diet_dairy_calves_replacement_north,concentrate,urea,0,,
diet_dairy_calves_replacement_north,concentrate,mixed_calcium_soaps,0,,
diet_dairy_calves_replacement_north,forage,straw_cereals_wheat_and_barley,23.9,,
diet_dairy_calves_replacement_north,forage,alfalfa_hay_first,0,,
diet_dairy_calves_replacement_north,forage,ryegrass_hay_second,0,,
diet_dairy_calves_replacement_north,forage,corn_silage_25_30,0,,
diet_dairy_calves_replacement_north,forage,ryegrass_silage_second,76.1,,
diet_dairy_calves_replacement_north,forage,cereals_silage_wheat_barley_oat_triticale,0,,
diet_dairy_calves_replacement_north,forage,wheat_silage_25_30,0,,
diet_dairy_calves_replacement_north,forage,barley_silage_25_30,0,,
diet_dairy_calves_replacement_north,forage,oat_silage_25_30,0,,
diet_dairy_calves_replacement_north,forage,triticale_silage_25_30,0,,
diet_dairy_calves_replacement_north,forage,sorghum_silage_25_30,0,,
diet_dairy_calves_replacement_north,forage,alfalfa_silage,0,,
diet_dairy_yearlings_replacement_north,concentrate,corn_national,41.1,Spain,
diet_dairy_yearlings_replacement_north,concentrate,corn_gluten_feed_20_5_cp,0,,
diet_dairy_yearlings_replacement_north,concentrate,barley_2_rows_national_11_3_cp,0,Spain,
diet_dairy_yearlings_replacement_north,concentrate,wheat_soft_national_12_9_cp,0,Spain,
diet_dairy_yearlings_replacement_north,concentrate,wheat_middlings_25_starch,0,,
diet_dairy_yearlings_replacement_north,concentrate,soybean_meal_44_cp,0,,
diet_dairy_yearlings_replacement_north,concentrate,soybean_meal_47_cp,0,,
diet_dairy_yearlings_replacement_north,concentrate,soybean_hulls_12_cp,0,,
diet_dairy_yearlings_replacement_north,concentrate,rapeseed_meal_00_33_cp,0,,
diet_dairy_yearlings_replacement_north,concentrate,sunflower_meal_32_cp,45.3,,
diet_dairy_yearlings_replacement_north,concentrate,oat_hulls,11.3,,
diet_dairy_yearlings_replacement_north,concentrate,beet_pulp_4_ash,0,,
diet_dairy_yearlings_replacement_north,concentrate,molasses_beet,0,,
diet_dairy_yearlings_replacement_north,concentrate,cotton_seed_whole,0,,
diet_dairy_yearlings_replacement_north,concentrate,brewers_grains,0,,
diet_dairy_yearlings_replacement_north,concentrate,brewery_yeast,0,,
diet_dairy_yearlings_replacement_north,concentrate,sodium_bicarbonate,0,,
diet_dairy_yearlings_replacement_north,concentrate,calcium_carbonate,2.2,,
diet_dairy_yearlings_replacement_north,concentrate,sodium_chloride_mine_92,0,,
diet_dairy_yearlings_replacement_north,concentrate,potassium_carbonate,0,,
diet_dairy_yearlings_replacement_north,concentrate,sodium_sulfate,0,,
diet_dairy_yearlings_replacement_north,concentrate,Vitamin/mineral_supplement,0,,
diet_dairy_yearlings_replacement_north,concentrate,mg_oxide_calcined_magnesite,0,,
diet_dairy_yearlings_replacement_north,concentrate,urea,0,,
diet_dairy_yearlings_replacement_north,concentrate,mixed_calcium_soaps,0,,
diet_dairy_yearlings_replacement_north,forage,straw_cereals_wheat_and_barley,41.1,,
diet_dairy_yearlings_replacement_north,forage,alfalfa_hay_first,0,,
diet_dairy_yearlings_replacement_north,forage,ryegrass_hay_second,0,,
diet_dairy_yearlings_replacement_north,forage,corn_silage_25_30,0,,
diet_dairy_yearlings_replacement_north,forage,ryegrass_silage_second,58.9,,
diet_dairy_yearlings_replacement_north,forage,cereals_silage_wheat_barley_oat_triticale,0,,
diet_dairy_yearlings_replacement_north,forage,wheat_silage_25_30,0,,
diet_dairy_yearlings_replacement_north,forage,barley_silage_25_30,0,,
diet_dairy_yearlings_replacement_north,forage,oat_silage_25_30,0,,
diet_dairy_yearlings_replacement_north,forage,triticale_silage_25_30,0,,
diet_dairy_yearlings_replacement_north,forage,sorghum_silage_25_30,0,,
diet_dairy_yearlings_replacement_north,forage,alfalfa_silage,0,,
diet_dairy_mature_north_lactation_phase,concentrate,corn_national,15.9,Spain,
diet_dairy_mature_north_lactation_phase,concentrate,corn_gluten_feed_20_5_cp,0,,
diet_dairy_mature_north_lactation_phase,concentrate,barley_2_rows_national_11_3_cp,42.4,Spain,
diet_dairy_mature_north_lactation_phase,concentrate,wheat_soft_national_12_9_cp,0,Spain,
diet_dairy_mature_north_lactation_phase,concentrate,wheat_middlings_25_starch,0,,
diet_dairy_mature_north_lactation_phase,concentrate,soybean_meal_44_cp,17.7,,
diet_dairy_mature_north_lactation_phase,concentrate,soybean_meal_47_cp,0,,
diet_dairy_mature_north_lactation_phase,concentrate,soybean_hulls_12_cp,0,,
diet_dairy_mature_north_lactation_phase,concentrate,rapeseed_meal_00_33_cp,16.1,,
diet_dairy_mature_north_lactation_phase,concentrate,sunflower_meal_32_cp,0,,
diet_dairy_mature_north_lactation_phase,concentrate,oat_hulls,0,,
diet_dairy_mature_north_lactation_phase,concentrate,beet_pulp_4_ash,0,,
diet_dairy_mature_north_lactation_phase,concentrate,molasses_beet,0,,
diet_dairy_mature_north_lactation_phase,concentrate,cotton_seed_whole,0,,
diet_dairy_mature_north_lactation_phase,concentrate,brewers_grains,0,,
diet_dairy_mature_north_lactation_phase,concentrate,brewery_yeast,0,,
diet_dairy_mature_north_lactation_phase,concentrate,sodium_bicarbonate,2.1,,
diet_dairy_mature_north_lactation_phase,concentrate,calcium_carbonate,2.1,,
diet_dairy_mature_north_lactation_phase,concentrate,sodium_chloride_mine_92,0.5,,
diet_dairy_mature_north_lactation_phase,concentrate,potassium_carbonate,0,,
diet_dairy_mature_north_lactation_phase,concentrate,sodium_sulfate,0,,
diet_dairy_mature_north_lactation_phase,concentrate,Vitamin/mineral_supplement,1.5,,
diet_dairy_mature_north_lactation_phase,concentrate,mg_oxide_calcined_magnesite,0,,
diet_dairy_mature_north_lactation_phase,concentrate,urea,1.1,,
diet_dairy_mature_north_lactation_phase,concentrate,mixed_calcium_soaps,0.6,,
diet_dairy_mature_north_lactation_phase,forage,straw_cereals_wheat_and_barley,0,,
diet_dairy_mature_north_lactation_phase,forage,alfalfa_hay_first,0,,
