diet_tag,forage_share,concentrate_share,milk_share,milk_replacer_share
diet_feedlot_calves,8.74,88.86,0,2.4
diet_beef_calves_slaughter_mountain,0,4.66,95.34,0
diet_beef_calves_slaughter_dehesa,0,0,100,0
diet_beef_calves_slaughter_galicia,0,0,100,0
diet_beef_calves_replacement_mountain,95.98,4.02,0,0
diet_beef_calves_replacement_dehesa,100,0,0,0
diet_beef_calves_replacement_galicia,100,0,0,0
diet_dairy_calves_replacement_north,60,40,0,0
diet_dairy_calves_replacement_south,65,35,0,0
diet_beef_mature_yearlings_mountain,95.98,4.02,0,0
diet_beef_mature_yearlings_dehesa,100,0,0,0
diet_beef_mature_yearlings_galicia,100,0,0,0
diet_dairy_yearlings_replacement_north,56,44,0,0
diet_dairy_yearlings_replacement_south,71,29,0,0
diet_dairy_mature_north_dry_phase,70,30,0,0
diet_dairy_mature_north_lactation_phase,55,45,0,0
diet_dairy_mature_south_dry_phase,54,46,0,0
diet_dairy_mature_south_lactation_phase,50,50,0,0
diet_lamb_dairy_slaughter,5,45,50,0
diet_lamb_meat_slaughter,10,90,0,0
diet_lamb_dairy_male_replacement_pasture,76,24,0,0
diet_lamb_dairy_male_replacement_stall,40,60,0,0
diet_lamb_meat_male_replacement_pasture,40,60,0,0
diet_mature_sheep_dairy_male_pasture,76,24,0,0
diet_mature_sheep_dairy_male_stall,50,50,0,0
diet_mature_sheep_meat_male_pasture,50,50,0,0
diet_lamb_dairy_female_replacement_pasture,100,0,0,0
diet_lamb_dairy_female_replacement_stall,40,60,0,0
diet_lamb_meat_female_replacement_pasture,80,20,0,0
diet_mature_sheep_dairy_female_pasture,75,25,0,0
diet_mature_sheep_dairy_female_stall,40,60,0,0
diet_mature_sheep_meat_female_pasture,80,20,0,0
diet_kid_goat_male_dairy_replacement_stall,25.62,54.38,20,0
diet_kid_goat_male_dairy_replacement_pasture,29.5,54.5,16,0
diet_kid_goat_male_meat_replacement_stall,32.09,54.58,13.33,0
diet_kid_goat_male_meat_replacement_pasture,32.09,54.58,13.33,0
diet_mature_goat_male_dairy_stall,50,50,0,0
diet_mature_goat_male_dairy_pasture,76,24,0,0
diet_mature_goat_male_meat_stall,50,50,0,0
diet_mature_goat_male_meat_pasture,76,24,0,0
diet_kid_goat_female_dairy_replacement_stall,25.62,54.38,20,0
diet_kid_goat_female_dairy_replacement_pasture,42,42,16,0
diet_kid_goat_female_meat_replacement_stall,32.09,54.58,13.33,0
diet_kid_goat_female_meat_replacement_pasture,32.09,54.58,13.33,0
diet_mature_goat_female_dairy_stall,40,60,0,0
diet_mature_goat_female_dairy_pasture,60,40,0,0
diet_mature_goat_female_meat_stall,70,30,0,0
diet_mature_goat_female_meat_pasture,90,10,0,0
diet_broilers,0,100,0,0
diet_replacement_layer_pullets,0,100,0,0
diet_breeder_meat_hens,0,100,0,0
diet_replacement_meat_pullets,0,100,0,0
diet_free_range_laying_hens,0,100,0,0
diet_laying_white_hens,0,100,0,0
diet_fattening_pigs_6_to_20_kg,0,100,0,0
diet_fattening_pigs_20_to_49_kg,0,100,0,0
diet_fattening_pigs_50_to_79_kg,0,100,0,0
diet_fattening_pigs_80_to_109_kg,0,100,0,0
diet_fattening_pigs_110_kg,0,100,0,0
diet_boar_juvenile,0,100,0,0
diet_boar_adult,0,100,0,0
diet_replacement_sows,0,100,0,0
diet_gest1_sows,0,100,0,0
diet_gest2_sows,0,100,0,0
diet_lact1_sows,0,100,0,0
diet_lact2_sows,0,100,0,0
diet_rest1_sows,0,100,0,0
diet_rest2_sows,0,100,0,0
