animal_tag,parameter,value
mature_dairy_cattle,replacement_rate,0.27
mature_beef_bull,replacement_rate,0.125
mature_beef_cattle,replacement_rate,0.15
mature_sheep_male_dairy,replacement_rate,0.23
mature_sheep_female_dairy,replacement_rate,0.3
mature_sheep_male_meat,replacement_rate,0.25
mature_sheep_female_meat,replacement_rate,0.3
mature_goat_male_dairy,replacement_rate,0.23
mature_goat_female_dairy,replacement_rate,0.3
mature_goat_male_meat,replacement_rate,0.25
mature_goat_female_meat,replacement_rate,0.3
breeder_sows,replacement_rate,0.25
boars,replacement_rate,0.30
laying_hens,replacement_rate,0.714
breeder_meat_hens,replacement_rate,1.2126
