diet_tag,ingredient,ingredient_share,ingredient_type,country_of_origin,custom_yield_kg_ha
diet_dairy_mature_south,corn_national,44.85,concentrate,Spain,NA
diet_dairy_mature_south,corn_gluten_feed_20_5_cp,0,concentrate,NA,NA
diet_dairy_mature_south,barley_2_rows_national_11_3_cp,0,concentrate,Spain,NA
diet_dairy_mature_south,wheat_soft_national_12_9_cp,0,concentrate,Spain,NA
diet_dairy_mature_south,wheat_middlings_25_starch,0,concentrate,NA,NA
diet_dairy_mature_south,soybean_meal_44_cp,17.12,concentrate,NA,NA
diet_dairy_mature_south,soybean_meal_47_cp,0,concentrate,NA,NA
diet_dairy_mature_south,soybean_hulls_12_cp,0,concentrate,NA,NA
diet_dairy_mature_south,rapeseed_meal_00_33_cp,28.71,concentrate,NA,NA
diet_dairy_mature_south,sunflower_meal_32_cp,0,concentrate,NA,NA
diet_dairy_mature_south,oat_hulls,0,concentrate,NA,NA
diet_dairy_mature_south,beet_pulp_4_ash,0,concentrate,NA,NA
diet_dairy_mature_south,molasses_beet,0,concentrate,NA,NA
diet_dairy_mature_south,cotton_seed_whole,0,concentrate,NA,NA
diet_dairy_mature_south,brewers_grains,0,concentrate,NA,NA
diet_dairy_mature_south,brewery_yeast,0,concentrate,NA,NA
diet_dairy_mature_south,sodium_bicarbonate,2.26,concentrate,NA,NA
diet_dairy_mature_south,calcium_carbonate,2.11,concentrate,NA,NA
diet_dairy_mature_south,sodium_chloride_mine_92,0.42,concentrate,NA,NA
diet_dairy_mature_south,potassium_carbonate,0.94,concentrate,NA,NA
diet_dairy_mature_south,sodium_sulfate,0,concentrate,NA,NA
diet_dairy_mature_south,Vitamin/mineral_supplement,1.12,concentrate,NA,NA
diet_dairy_mature_south,mg_oxide_calcined_magnesite,0.34,concentrate,NA,NA
diet_dairy_mature_south,urea,1.01,concentrate,NA,NA
diet_dairy_mature_south,mixed_calcium_soaps,1.13,concentrate,NA,NA
diet_dairy_mature_south,straw_cereals_wheat_and_barley,0,forage,NA,NA
diet_dairy_mature_south,alfalfa_hay_first,0,forage,NA,NA
diet_dairy_mature_south,ryegrass_hay_second,0,forage,NA,NA
diet_dairy_mature_south,corn_silage_25_30,71.4,forage,NA,NA
diet_dairy_mature_south,ryegrass_silage_second,0,forage,NA,NA
diet_dairy_mature_south,cereals_silage_wheat_barley_oat_triticale,28.6,forage,NA,NA
diet_dairy_mature_south,wheat_silage_25_30,0,forage,NA,NA
diet_dairy_mature_south,barley_silage_25_30,0,forage,NA,NA
diet_dairy_mature_south,oat_silage_25_30,0,forage,NA,NA
diet_dairy_mature_south,triticale_silage_25_30,0,forage,NA,NA
diet_dairy_mature_south,sorghum_silage_25_30,0,forage,NA,NA
diet_dairy_mature_south,alfalfa_silage,0,forage,NA,NA
diet_dairy_mature_north,corn_national,15.9,concentrate,Spain,NA
diet_dairy_mature_north,corn_gluten_feed_20_5_cp,0,concentrate,NA,NA
diet_dairy_mature_north,barley_2_rows_national_11_3_cp,42.4,concentrate,Spain,NA
diet_dairy_mature_north,wheat_soft_national_12_9_cp,0,concentrate,Spain,NA
diet_dairy_mature_north,wheat_middlings_25_starch,0,concentrate,NA,NA
diet_dairy_mature_north,soybean_meal_44_cp,17.7,concentrate,NA,NA
diet_dairy_mature_north,soybean_meal_47_cp,0,concentrate,NA,NA
diet_dairy_mature_north,soybean_hulls_12_cp,0,concentrate,NA,NA
diet_dairy_mature_north,rapeseed_meal_00_33_cp,16.1,concentrate,NA,NA
diet_dairy_mature_north,sunflower_meal_32_cp,0,concentrate,NA,NA
diet_dairy_mature_north,oat_hulls,0,concentrate,NA,NA
diet_dairy_mature_north,beet_pulp_4_ash,0,concentrate,NA,NA
diet_dairy_mature_north,molasses_beet,0,concentrate,NA,NA
diet_dairy_mature_north,cotton_seed_whole,0,concentrate,NA,NA
diet_dairy_mature_north,brewers_grains,0,concentrate,NA,NA
diet_dairy_mature_north,brewery_yeast,0,concentrate,NA,NA
diet_dairy_mature_north,sodium_bicarbonate,2.1,concentrate,NA,NA
diet_dairy_mature_north,calcium_carbonate,2.1,concentrate,NA,NA
diet_dairy_mature_north,sodium_chloride_mine_92,0.5,concentrate,NA,NA
diet_dairy_mature_north,potassium_carbonate,0,concentrate,NA,NA
diet_dairy_mature_north,sodium_sulfate,0,concentrate,NA,NA
diet_dairy_mature_north,Vitamin/mineral_supplement,1.5,concentrate,NA,NA
diet_dairy_mature_north,mg_oxide_calcined_magnesite,0,concentrate,NA,NA
diet_dairy_mature_north,urea,1.1,concentrate,NA,NA
diet_dairy_mature_north,mixed_calcium_soaps,0.6,concentrate,NA,NA
diet_dairy_mature_north,straw_cereals_wheat_and_barley,0,forage,NA,NA
diet_dairy_mature_north,alfalfa_hay_first,0,forage,NA,NA
diet_dairy_mature_north,ryegrass_hay_second,0,forage,NA,NA
diet_dairy_mature_north,corn_silage_25_30,60,forage,NA,NA
diet_dairy_mature_north,ryegrass_silage_second,40,forage,NA,NA
diet_dairy_mature_north,cereals_silage_wheat_barley_oat_triticale,0,forage,NA,NA
diet_dairy_mature_north,wheat_silage_25_30,0,forage,NA,NA
diet_dairy_mature_north,barley_silage_25_30,0,forage,NA,NA
diet_dairy_mature_north,oat_silage_25_30,0,forage,NA,NA
diet_dairy_mature_north,triticale_silage_25_30,0,forage,NA,NA
diet_dairy_mature_north,sorghum_silage_25_30,0,forage,NA,NA
diet_dairy_mature_north,alfalfa_silage,0,forage,NA,NA
