animal_tag,region,subregion,class_flex,diet_tag,cfi,ca,c,a,b,milk_yield_kg_year,fat_content_pct,wool_yield_kg_year,work_hours,pr,single birth fraction,double birth fraction,c_pregnancy,animal_type,animal_subtype
feedlot_calves_male,,,,diet_feedlot_calves,cattle/buffalo,stall,bulls,,,0,0,0,0,0,0,0,,cattle,feedlot
feedlot_calves_female,,,,diet_feedlot_calves,cattle/buffalo,stall,females,,,0,0,0,0,0,0,0,,cattle,feedlot
beef_calves_male,,,,diet_beef_calves_slaughter,cattle/buffalo,pasture,bulls,,,0,0,0,0,0,0,0,,cattle,beef
beef_calves_female,,,,diet_beef_calves_slaughter,cattle/buffalo,pasture,females,,,0,0,0,0,0,0,0,,cattle,beef
beef_calves_male_replacement,,,,diet_beef_calves_replacement,cattle/buffalo,pasture,bulls,,,0,0,0,0,0,0,0,,cattle,beef
beef_calves_female_replacement,,,,diet_beef_calves_replacement,cattle/buffalo,pasture,females,,,0,0,0,0,0,0,0,,cattle,beef
dairy_calves_female_replacement,,,,diet_dairy_calves_replacement,cattle/buffalo,stall,females,,,0,0,0,0,0,0,0,,cattle,dairy
beef_yearlings_male_replacement,,,,diet_beef_mature_yearlings,cattle/buffalo,pasture,bulls,,,0,0,0,0,0,0,0,,cattle,beef
beef_yearlings_female_replacement,,,,diet_beef_mature_yearlings,cattle/buffalo,pasture,females,,,0,0,0,0,0,0,0,,cattle,beef
dairy_yearlings_female_replacement,,,,diet_dairy_yearlings_replacement,cattle/buffalo,stall,females,,,0,0,0,0,0,0,0,,cattle,dairy
mature_beef_bull,,,,diet_beef_mature_yearlings,cattle_buffalo [bulls],pasture,bulls,,,0,0,0,0,0,0,0,,cattle,beef
mature_dairy_cattle,spain,north,lactation_phase,diet_dairy_mature,cattle_buffalo [lactating cows],stall,females,,,8295,3.73,0,0,0,0,0,cattle and buffalo,cattle,dairy
mature_dairy_cattle,spain,north,dry_phase,diet_dairy_mature,cattle_buffalo [lactating cows],stall,females,,,0,0,0,0,0,0,0,cattle and buffalo,cattle,dairy
