diet_tag,ingredient,ingredient_share,ingredient_type,country_of_origin,custom_yield_kg_ha
diet_broilers,wheat_soft_english,47.6,concentrate,NA,NA
diet_broilers,corn_national,12.96,concentrate,Spain,NA
diet_broilers,tapioca_65,0,concentrate,NA,NA
diet_broilers,lard,7.04,concentrate,NA,NA
diet_broilers,soya_acid_oil_oleins,0.03,concentrate,NA,NA
diet_broilers,rapeseed_meal_00,0.12,concentrate,NA,NA
diet_broilers,sunflower_meal_36_cp,3.7,concentrate,NA,NA
diet_broilers,extruded_soybeans,1.31,concentrate,NA,NA
diet_broilers,soybean_meal_44_cp,0,concentrate,NA,NA
diet_broilers,soybean_meal_47_cp,23.58,concentrate,NA,NA
diet_broilers,meat_meal_44_15_28,0,concentrate,NA,NA
diet_broilers,meat_meal_52_14_25,0,concentrate,NA,NA
diet_broilers,corn_ddgs_12_5_ee_3_5_starch,0,concentrate,NA,NA
diet_broilers,sodium_bicarbonate,0.15,concentrate,NA,NA
diet_broilers,calcium_carbonate,1.55,concentrate,NA,NA
diet_broilers,dicalcium_phosphate_dihydrated,0,concentrate,NA,NA
diet_broilers,monocalcium_phosphate_hydrated,0.52,concentrate,NA,NA
diet_broilers,sodium_chloride_mine_92,0.36,concentrate,NA,NA
diet_broilers,choline_chloride_75,0.03,concentrate,NA,NA
diet_broilers,l_methionine,0.28,concentrate,NA,NA
diet_broilers,l_lysine_hcl,0,concentrate,NA,NA
diet_broilers,l_lysine_50,0.29,concentrate,NA,NA
diet_broilers,l_threonine,0.11,concentrate,NA,NA
diet_broilers,Vitamin/mineral_supplement,0.37,concentrate,NA,NA
diet_replacement_layer_pullets,wheat_soft_english,26,concentrate,NA,NA
diet_replacement_layer_pullets,corn_national,41.12,concentrate,Spain,NA
diet_replacement_layer_pullets,tapioca_65,0,concentrate,NA,NA
diet_replacement_layer_pullets,lard,0.34,concentrate,NA,NA
diet_replacement_layer_pullets,soya_acid_oil_oleins,0,concentrate,NA,NA
diet_replacement_layer_pullets,rapeseed_meal_00,4.14,concentrate,NA,NA
diet_replacement_layer_pullets,sunflower_meal_36_cp,11.6,concentrate,NA,NA
diet_replacement_layer_pullets,palm_kernel_expeller,0.47,concentrate,NA,NA
diet_replacement_layer_pullets,soybean_meal_44_cp,0,concentrate,NA,NA
