diet_tag,region,subregion,class_flex,forage_share,concentrate_share,milk_share,milk_replacer_share
diet_broilers,spain,,,0,100,0,0
diet_replacement_layer_pullets,spain,,,0,100,0,0
diet_breeder_meat_hens,spain,,,0,100,0,0
diet_replacement_meat_pullets,spain,,,0,100,0,0
diet_free_range_laying_hens,spain,,,0,100,0,0
diet_laying_white_hens,spain,,,0,100,0,0
diet_fattening_pigs_6_to_20_kg,spain,,,0,100,0,0
diet_fattening_pigs_20_to_49_kg,spain,,,0,100,0,0
diet_fattening_pigs_50_to_79_kg,spain,,,0,100,0,0
diet_fattening_pigs_80_to_109_kg,spain,,,0,100,0,0
diet_fattening_pigs_110_kg,spain,,,0,100,0,0
diet_boar_juvenile,spain,,,0,100,0,0
diet_boar_adult,spain,,,0,100,0,0
diet_replacement_sows,spain,,,0,100,0,0
diet_gest1_sows,spain,,,0,100,0,0
diet_gest2_sows,spain,,,0,100,0,0
diet_lact1_sows,spain,,,0,100,0,0
diet_lact2_sows,spain,,,0,100,0,0
diet_rest1_sows,spain,,,0,100,0,0
diet_rest2_sows,spain,,,0,100,0,0
