animal_tag,region,subregion,class_flex,population
feedlot_calves_male,NA,NA,NA,0
feedlot_calves_female,NA,NA,NA,0
beef_calves_male,NA,NA,NA,0
beef_calves_female,NA,NA,NA,0
beef_calves_male_replacement,NA,NA,NA,0
beef_calves_female_replacement,NA,NA,NA,0
dairy_calves_female_replacement,NA,NA,NA,0
beef_yearlings_male_replacement,NA,NA,NA,0
beef_yearlings_female_replacement,NA,NA,NA,0
dairy_yearlings_female_replacement,NA,NA,NA,0
mature_beef_bull,NA,NA,NA,0
mature_dairy_cattle,NA,NA,NA,0
mature_beef_cattle,NA,NA,NA,0
lamb_female_dairy_replacement,NA,NA,NA,0
lamb_dairy_slaughter,NA,NA,NA,0
lamb_female_meat_replacement,NA,NA,NA,0
lamb_meat_slaughter,NA,NA,NA,0
lamb_male_dairy_replacement,NA,NA,NA,0
lamb_male_meat_replacement,NA,NA,NA,0
mature_sheep_female_dairy,NA,NA,NA,0
mature_sheep_female_meat,NA,NA,NA,0
mature_sheep_male_dairy,NA,NA,NA,0
mature_sheep_male_meat,NA,NA,NA,0
kid_goat_male_dairy_replacement,NA,NA,NA,0
kid_goat_male_meat_replacement,NA,NA,NA,0
mature_goat_male_dairy,NA,NA,NA,0
mature_goat_male_meat,NA,NA,NA,0
kid_goat_female_dairy_replacement,NA,NA,NA,0
kid_goat_female_meat_replacement,NA,NA,NA,0
mature_goat_female_dairy,NA,NA,NA,0
mature_goat_female_meat,NA,NA,NA,0
broilers,spain,NA,NA,100
replacement_meat_pullets,spain,NA,NA,100
breeder_meat_hens,spain,NA,NA,100
replacement_layer_pullets,spain,NA,NA,100
laying_hens,spain,NA,NA,100
free_range_laying_hens,spain,NA,NA,100
fattening_pigs,spain,,,5237113
replacement_sows,spain,,,287689
breeder_sows,spain,,,1299996
boars,spain,,,17187
