animal_tag,region,subregion,class_flex,adult_weight_kg,productive_period_days,initial_weight_kg,final_weight_kg,sows_gestation_days,sows_lactation_days,piglet_birth_weight_kg,piglet_weaning_weight_kg,sow_reserve_gain_kg
broilers,spain,NA,NA,2.6,42,0.044,2.6,,,,,
replacement_meat_pullets,spain,NA,NA,2.17,140,0.044,2.17,,,,,
breeder_meat_hens,spain,NA,NA,4,301,2.17,4,,,,,
replacement_layer_pullets,spain,NA,NA,1.24,119,0.0375,1.24,,,,,
laying_hens,spain,NA,NA,1.72,511,1.24,1.72,,,,,
free_range_laying_hens,spain,NA,NA,2.145,441,1.4,2.145,,,,,
fattening_pigs,spain,,,,37.8,80,111.82,,,,,
replacement_sows,spain,,,,74.7,111.82,145.93,,,,,
breeder_sows,spain,,,,148.9,200.84,223.19,115.1,25,1.4,5.89,5
boars,spain,,,,365,237.5,287.5,,,,,
