animal_tag,region,subregion,class_flex,animal_type,animal_subtype,production_role,diet_tag,cfi_maintenance,frac_fat_pct,frac_protein_pct,egg_mass_g_day,egg_weight_g,fertility_rate,alpha,piglets_born,piglets_suckling
broilers,spain,,,poultry,meat,slaughter,diet_broilers,113,0.115,0.181,0,,,,,
replacement_meat_pullets,spain,,,poultry,meat,replacement,diet_replacement_meat_pullets,113,0.085,0.14,0,,,,,
breeder_meat_hens,spain,,,poultry,meat,mature,diet_breeder_meat_hens,125,0.175,0.166,37.12,64,0.83,,,
replacement_layer_pullets,spain,,,poultry,layer,replacement,diet_replacement_layer_pullets,113,0.085,0.14,0,,,,,
laying_hens,spain,,caged,poultry,layer,mature,diet_laying_white_hens,125,0.175,0.166,48.924,60,,,,
laying_hens,spain,,free_range,poultry,layer,mature,diet_free_range_laying_hens,131,0.175,0.166,51.587,60,,,,
fattening_pigs,spain,,,swine,,slaughter,diet_fattening_pigs_80_to_109_kg,206,0.266,0.153,0,,,0.6,,
replacement_sows,spain,,,swine,,replacement,diet_replacement_sows,206,0.28,0.153,0,,,0.6,,
breeder_sows,spain,,,swine,,mature,diet_gest2_sows,104.5,0,0,0,,,0.75,16.26,13.05
boars,spain,,,swine,,mature,diet_boar_adult,104.5,0.203,0.161,0,,,0.75,,
