Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1371,"Almonds, in shell",2024,2024,kg/ha,1741.9,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2024,2024,kg/ha,704.3,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1341,Apples,2024,2024,kg/ha,10341.8,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1343,Apricots,2024,2024,kg/ha,7249.5,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,115,Barley,2024,2024,kg/ha,1428.6,X,Figure from external organization,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1701,"Beans, dry",2024,2024,kg/ha,1793.6,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1229,Cantaloupes and other melons,2024,2024,kg/ha,10821.4,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1315,Figs,2024,2024,kg/ha,5314.5,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1330,Grapes,2024,2024,kg/ha,11822.2,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1441,Linseed,2024,2024,kg/ha,840.4,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,112,Maize (corn),2024,2024,kg/ha,1925.9,X,Figure from external organization,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,118,Millet,2024,2024,kg/ha,1460.3,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1442,Mustard seed,2024,2024,kg/ha,1022.2,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1450,Olives,2024,2024,kg/ha,3617.9,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1253.02,"Onions and shallots, dry (excluding dehydrated)",2024,2024,kg/ha,17268.5,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1323,Oranges,2024,2024,kg/ha,6268.5,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1355.9,Other berries and fruits of the genus vaccinium n.e.c.,2024,2024,kg/ha,3510.6,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1329,"Other citrus fruit, n.e.c.",2024,2024,kg/ha,8732.9,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1359.9,"Other fruits, n.e.c.",2024,2024,kg/ha,7529.9,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1379.9,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",2024,2024,kg/ha,817.6,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1709.9,Other pulses n.e.c.,2024,2024,kg/ha,2172.7,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1699,"Other stimulant, spice and aromatic crops, n.e.c.",2024,2024,kg/ha,1.9,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1349.2,Other stone fruits,2024,2024,kg/ha,7045,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1290.9,"Other vegetables, fresh n.e.c.",2024,2024,kg/ha,8813,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1345,Peaches and nectarines,2024,2024,kg/ha,8857.2,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1342.01,Pears,2024,2024,kg/ha,6635.3,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1705,"Peas, dry",2024,2024,kg/ha,1109.2,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1375,"Pistachios, in shell",2024,2024,kg/ha,1321,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1346,Plums and sloes,2024,2024,kg/ha,8620,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1510,Potatoes,2024,2024,kg/ha,13639.6,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,113,Rice,2024,2024,kg/ha,5061.9,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1921.01,"Seed cotton, unginned",2024,2024,kg/ha,1321.3,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1444,Sesame seed,2024,2024,kg/ha,635.9,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,141,Soya beans,2024,2024,kg/ha,2139.7,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1801,Sugar beet,2024,2024,kg/ha,19097.4,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1802,Sugar cane,2024,2024,kg/ha,27383.5,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1445,Sunflower seed,2024,2024,kg/ha,1012.3,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1376,"Walnuts, in shell",2024,2024,kg/ha,3499.6,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1221,Watermelons,2024,2024,kg/ha,15531.3,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,111,Wheat,2024,2024,kg/ha,2260.9,X,Figure from external organization,
QCL,Crops and livestock products,8,Albania,5412,Yield,1341,Apples,2024,2024,kg/ha,23242.9,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,1343,Apricots,2024,2024,kg/ha,17572.8,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,115,Barley,2024,2024,kg/ha,3172.2,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,1701,"Beans, dry",2024,2024,kg/ha,1976.8,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,1702,"Broad beans and horse beans, dry",2024,2024,kg/ha,1179.4,E,Estimated value,
QCL,Crops and livestock products,8,Albania,5412,Yield,1243,"Broad beans and horse beans, green",2024,2024,kg/ha,4992.2,E,Estimated value,
QCL,Crops and livestock products,8,Albania,5412,Yield,1212,Cabbages,2024,2024,kg/ha,34571.1,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,1229,Cantaloupes and other melons,2024,2024,kg/ha,34758.4,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,1251,Carrots and turnips,2024,2024,kg/ha,38499.9,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,1213,Cauliflowers and broccoli,2024,2024,kg/ha,17702.3,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,1344.02,Cherries,2024,2024,kg/ha,9968.3,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,1373,"Chestnuts, in shell",2024,2024,kg/ha,2336.6,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,1231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,2024,kg/ha,34577.6,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,1232,Cucumbers and gherkins,2024,2024,kg/ha,47849.5,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,1314,Dates,2024,2024,kg/ha,31056.9,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,1233,Eggplants (aubergines),2024,2024,kg/ha,29303,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,1315,Figs,2024,2024,kg/ha,15917.6,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,1330,Grapes,2024,2024,kg/ha,19600,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,1252,Green garlic,2024,2024,kg/ha,15424.6,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,1659,Hop cones,2024,2024,kg/ha,754.5,E,Estimated value,
QCL,Crops and livestock products,8,Albania,5412,Yield,1254,Leeks and other alliaceous vegetables,2024,2024,kg/ha,27990,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,1322,Lemons and limes,2024,2024,kg/ha,64365.4,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,1214,Lettuce and chicory,2024,2024,kg/ha,13847.8,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,112,Maize (corn),2024,2024,kg/ha,7124.2,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,117,Oats,2024,2024,kg/ha,2302.3,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,1239.01,Okra,2024,2024,kg/ha,11346.4,E,Estimated value,
QCL,Crops and livestock products,8,Albania,5412,Yield,1450,Olives,2024,2024,kg/ha,2870.5,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,1253.02,"Onions and shallots, dry (excluding dehydrated)",2024,2024,kg/ha,21719.2,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,1253.01,"Onions and shallots, green",2024,2024,kg/ha,21401.4,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,1323,Oranges,2024,2024,kg/ha,60676.9,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,1241.9,"Other beans, green",2024,2024,kg/ha,11937.7,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,1329,"Other citrus fruit, n.e.c.",2024,2024,kg/ha,28152.9,E,Estimated value,
QCL,Crops and livestock products,8,Albania,5412,Yield,1359.9,"Other fruits, n.e.c.",2024,2024,kg/ha,58697.3,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,1379.9,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",2024,2024,kg/ha,7853.2,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,1709.9,Other pulses n.e.c.,2024,2024,kg/ha,628.8,E,Estimated value,
QCL,Crops and livestock products,8,Albania,5412,Yield,1699,"Other stimulant, spice and aromatic crops, n.e.c.",2024,2024,kg/ha,914.7,E,Estimated value,
QCL,Crops and livestock products,8,Albania,5412,Yield,1290.9,"Other vegetables, fresh n.e.c.",2024,2024,kg/ha,21110.4,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,1345,Peaches and nectarines,2024,2024,kg/ha,17750.5,A,Official figure,
QCL,Crops and livestock products,8,Albania,5412,Yield,1342.01,Pears,2024,2024,kg/ha,18493.6,A,Official figure,
