ingredient_type,ingredient,MS_pct,ASH_pct,CP_pct,EE_pct,NDF_pct,DE_pct,ED_kcalkg,swine_ME_kcal_kg,poultry_ME_kcal_kg
concentrate,broken_rice,87.2,1.15,8.6,1.15,2.87,NA,4282.8,4025.229358,3899.082569
concentrate,oats,90.5,3.09,10.94,5.41,34.14,75.5,4471.1,2983.425414,2651.933702
concentrate,oats_decorticated,88.5,3.16,15.82,7.8,11.53,NA,4675.06,3672.316384,3706.214689
concentrate,barley_2_rows_national_11_3_cp,89.9,2.45,12.57,1.89,20.13,80.7,4326.59,3503.893215,3097.886541
concentrate,barley_2_rows_national_9_6_cp,88.9,2.47,10.8,1.91,20.36,NA,4300.28,3509.561305,3093.36333
concentrate,rye_national,89.4,1.79,10.51,1.45,15.21,NA,4300.09,3579.418345,3053.691275
concentrate,rye_german,87.5,2.06,11.54,2.06,12.8,NA,4337.82,3611.428571,3142.857143
concentrate,corn_national,86.4,1.27,8.45,3.82,10.42,86.1,4424.79,3900.462963,3761.574074
concentrate,high_oil_corn_grain,86.2,1.51,9.74,7.42,10.21,NA,4635.18,4002.320186,3955.916473
concentrate,white_sorghum_grain,87,1.49,10.23,3.45,10.11,NA,4421.09,3827.586207,3701.149425
concentrate,wheat_soft_national_12_9_cp,89.7,2.01,14.38,1.56,12.04,85.7,4354.62,3723.522854,3517.279822
concentrate,wheat_soft_national_11_2_cp,89.1,1.8,12.57,1.57,11.9,NA,4337.27,3726.150393,3479.236813
concentrate,wheat_soft_national_10_2_cp,88.5,1.69,11.53,1.58,11.64,NA,4327.07,3728.813559,3474.576271
concentrate,wheat_soft_english,87,1.95,12.64,1.84,10.69,85.7,4346.84,3752.873563,3551.724138
concentrate,wheat_hard_national,90,1.78,15.33,2.22,13.22,NA,4415.95,3666.666667,3388.888889
concentrate,triticale,89.5,1.9,11.96,1.68,13.85,NA,4329.88,3648.044693,3374.301676
concentrate,rice_cooked,87.2,1.15,8.6,1.15,2.87,NA,4282.8,4151.376147,3979.357798
concentrate,corn_heat_processed_national,86.2,1.28,8.47,3.83,10.21,86.8,4425.21,4083.526682,3851.508121
concentrate,white_sorghum_heat_processed,87,1.49,10.23,3.45,10.11,NA,4421.09,3977.011494,3724.137931
concentrate,rice_bran_14_ee,89.7,9.25,15.38,15.5,20.07,NA,4831.7,3444.816054,3171.683389
concentrate,rice_bran_high_fat_17_ee,89.8,9.58,15.14,19.04,22.94,NA,5011.82,3463.25167,3168.151448
concentrate,rice_bran_defatted,90.1,12.87,16.43,3.55,30.52,NA,4018.97,2419.533851,2230.854606
concentrate,barley_ddgs,91.9,5.44,27.09,6.09,37,70.9,4648.03,2720.348205,2023.939064
concentrate,corn_ddgs_7_5_ee_6_8_starch,88.5,5.2,31.07,8.47,37.51,NA,4851.57,2920.903955,2322.033898
concentrate,corn_ddgs_12_5_ee_3_5_starch,90.3,4.98,31.01,13.84,35.77,83.5,5161.07,3122.923588,2580.287929
concentrate,corn_ddgs_12_5_ee_6_8_starch,90.4,4.42,30.31,13.83,33.3,NA,5174.65,3219.026549,2699.115044
concentrate,sorghum_ddgs,90.6,5.19,33.33,10.38,29.8,NA,4992.87,3101.545254,2538.631347
concentrate,wheat_ddgs,91.2,4.82,36.84,5.26,31.8,NA,4775.08,3004.385965,2302.631579
concentrate,brewers_grains,91.5,3.93,26.56,7.87,53.44,63.2,4806.2,2437.15847,0
concentrate,corn_flour_6_ee,86.3,2.2,9.62,6.95,19.12,NA,4576.7,3650.057937,3476.245655
concentrate,corn_gluten_feed_19_cp,88.8,7.77,21.4,2.59,35.7,80.4,4264.16,2747.747748,2094.594595
concentrate,corn_gluten_feed_20_5_cp,88.5,7.34,23.16,2.94,35.71,80.4,4329.08,2757.062147,2112.99435
concentrate,corn_gluten_meal_60,89.6,1.9,66.96,3.01,6.81,NA,5229.36,4162.946429,4029.017857
concentrate,wheat_bran_15_starch,87.4,6.18,17.62,3.78,46.11,NA,4344.06,2414.187643,1876.430206
concentrate,wheat_bran_20_starch,87.6,5.59,17.12,3.88,42.35,71.4,4368.12,2625.570776,2100.456621
concentrate,wheat_middlings_25_starch,87.9,5.12,16.27,3.98,38.57,77.1,4381.65,2798.634812,2303.754266
concentrate,wheat_flour_30_starch,88.2,4.42,16.67,3.97,33.11,NA,4417.89,3004.535147,2539.68254
