diet_tag,region,subregion,class_flex,ingredient,ingredient_share,ingredient_type
diet_dairy_calves_replacement,spain,north,,corn_national,42.7,concentrate
diet_dairy_calves_replacement,spain,north,,corn_gluten_feed_20_5_cp,0,concentrate
diet_dairy_calves_replacement,spain,north,,barley_2_rows_national_11_3_cp,0,concentrate
diet_dairy_calves_replacement,spain,north,,wheat_soft_national_12_9_cp,0,concentrate
diet_dairy_calves_replacement,spain,north,,wheat_middlings_25_starch,0,concentrate
diet_dairy_calves_replacement,spain,north,,soybean_meal_44_cp,0,concentrate
diet_dairy_calves_replacement,spain,north,,soybean_meal_47_cp,0,concentrate
diet_dairy_calves_replacement,spain,north,,soybean_hulls_12_cp,0,concentrate
diet_dairy_calves_replacement,spain,north,,rapeseed_meal_00_33_cp,0,concentrate
diet_dairy_calves_replacement,spain,north,,sunflower_meal_32_cp,55.6,concentrate
diet_dairy_calves_replacement,spain,north,,oat_hulls,0,concentrate
diet_dairy_calves_replacement,spain,north,,beet_pulp_4_ash,0,concentrate
diet_dairy_calves_replacement,spain,north,,molasses_beet,0,concentrate
diet_dairy_calves_replacement,spain,north,,cotton_seed_whole,0,concentrate
diet_dairy_calves_replacement,spain,north,,brewers_grains,0,concentrate
diet_dairy_calves_replacement,spain,north,,brewery_yeast,0,concentrate
diet_dairy_calves_replacement,spain,north,,sodium_bicarbonate,1.7,concentrate
diet_dairy_calves_replacement,spain,north,,calcium_carbonate,0,concentrate
diet_dairy_calves_replacement,spain,north,,sodium_chloride_mine_92,0,concentrate
diet_dairy_calves_replacement,spain,north,,potassium_carbonate,0,concentrate
diet_dairy_calves_replacement,spain,north,,sodium_sulfate,0,concentrate
diet_dairy_calves_replacement,spain,north,,Vitamin/mineral_supplement,0,concentrate
diet_dairy_calves_replacement,spain,north,,mg_oxide_calcined_magnesite,0,concentrate
diet_dairy_calves_replacement,spain,north,,urea,0,concentrate
diet_dairy_calves_replacement,spain,north,,mixed_calcium_soaps,0,concentrate
diet_dairy_calves_replacement,spain,north,,straw_cereals_wheat_and_barley,23.9,forage
diet_dairy_calves_replacement,spain,north,,alfalfa_hay_first,0,forage
diet_dairy_calves_replacement,spain,north,,ryegrass_hay_second,0,forage
diet_dairy_calves_replacement,spain,north,,corn_silage_25_30,0,forage
diet_dairy_calves_replacement,spain,north,,ryegrass_silage_second,76.1,forage
diet_dairy_calves_replacement,spain,north,,cereals_silage_wheat_barley_oat_triticale,0,forage
