animal_tag,region,subregion,class_flex,system_base,management_months,system_climate,system_subclimate,climate_zone,system_variant,climate_moisture,animal_type,animal_subtype,allocation
feedlot_calves_male,,,,,,,,,,,,,
feedlot_calves_female,,,,,,,,,,,,,
beef_calves_male,,,,,,,,,,,,,
beef_calves_female,,,,,,,,,,,,,
beef_calves_male_replacement,,,,,,,,,,,,,
beef_calves_female_replacement,,,,,,,,,,,,,
dairy_calves_female_replacement,,,,,,,,,,,,,
beef_yearlings_male_replacement,,,,,,,,,,,,,
beef_yearlings_female_replacement,,,,,,,,,,,,,
dairy_yearlings_female_replacement,,,,,,,,,,,,,
mature_beef_bull,,,,,,,,,,,,,
mature_dairy_cattle,,,,,,,,,,,,,
mature_beef_cattle,,,,,,,,,,,,,
lamb_female_dairy_replacement,,,,,,,,,,,,,
lamb_dairy_slaughter,,,,,,,,,,,,,
lamb_female_meat_replacement,,,,,,,,,,,,,
lamb_meat_slaughter,,,,,,,,,,,,,
lamb_male_dairy_replacement,,,,,,,,,,,,,
lamb_male_meat_replacement,,,,,,,,,,,,,
mature_sheep_female_dairy,,,,,,,,,,,,,
mature_sheep_female_meat,,,,,,,,,,,,,
mature_sheep_male_dairy,,,,,,,,,,,,,
mature_sheep_male_meat,,,,,,,,,,,,,
kid_goat_male_dairy_replacement,,,,,,,,,,,,,
kid_goat_male_meat_replacement,,,,,,,,,,,,,
mature_goat_male_dairy,,,,,,,,,,,,,
mature_goat_male_meat,,,,,,,,,,,,,
kid_goat_female_dairy_replacement,,,,,,,,,,,,,
kid_goat_female_meat_replacement,,,,,,,,,,,,,
mature_goat_female_dairy,,,,,,,,,,,,,
mature_goat_female_meat,,,,,,,,,,,,,
random_goat,france,,,dry_lot,,cool,,,,wet,goat,meat,0.5
random_goat,france,,,daily_spread,,cool,,,,wet,goat,meat,0.5
