ingredient_type,ingredient,moisture,ash_fm,cp_fm,adf_fm,ee_fm,true fat_fm,ndf_fm,me_fm,nel_fm,nem_fm,neg_fm,ms,ash,cp,adf,ee,true_fat,ndf,me,nel,nem,neg,de,eb,a
feed,broken_rice,12.80,1.00,7.50,,1.00,0.85,2.50,2875.00,1870.00,1990.00,1385.00,87.20,1.15,8.60,0.00,1.15,0.97,2.87,3297.02,2144.50,2282.11,1588.30,,4282.78,No encontrado
feed,oats,9.50,2.80,9.90,,4.90,4.41,30.90,2490.00,1585.00,1700.00,1120.00,90.50,3.09,10.94,0.00,5.41,4.87,34.14,2751.38,1751.38,1878.45,1237.57,75.50,4471.16,oats
feed,oats_decorticated,11.50,2.80,14.00,,6.90,6.21,10.20,2920.00,1900.00,2020.00,1410.00,88.50,3.16,15.82,0.00,7.80,7.02,11.53,3299.44,2146.89,2282.49,1593.22,,4674.69,No encontrado
feed,barley_2_rows_national_11_3_cp,10.10,2.20,11.30,,1.70,1.19,18.10,2710.00,1740.00,1860.00,1260.00,89.90,2.45,12.57,0.00,1.89,1.32,20.13,3014.46,1935.48,2068.97,1401.56,80.70,4326.76,barley_2_rows_national_11_3_cp
feed,barley_2_rows_national_9_6_cp,11.10,2.20,9.60,,1.70,1.19,18.10,2700.00,1740.00,1860.00,1260.00,88.90,2.47,10.80,0.00,1.91,1.34,20.36,3037.12,1957.26,2092.24,1417.32,,4300.18,No encontrado
feed,rye_national,10.60,1.60,9.40,,1.30,0.91,13.60,2800.00,1805.00,1930.00,1320.00,89.40,1.79,10.51,0.00,1.45,1.02,15.21,3131.99,2019.02,2158.84,1476.51,,4300.40,No encontrado
feed,rye_german,12.50,1.80,10.10,,1.80,1.26,11.20,2740.00,1770.00,1890.00,1290.00,87.50,2.06,11.54,0.00,2.06,1.44,12.80,3131.43,2022.86,2160.00,1474.29,,4337.83,No encontrado
feed,corn_national,13.60,1.10,7.30,,3.30,2.97,9.00,2840.00,1850.00,1965.00,1365.00,86.40,1.27,8.45,0.00,3.82,3.44,10.42,3287.04,2141.20,2274.31,1579.86,86.10,4424.61,corn_national
feed,high_oil_corn_grain,13.80,1.30,8.40,,6.40,6.08,8.80,2950.00,1930.00,2045.00,1440.00,86.20,1.51,9.74,0.00,7.42,7.05,10.21,3422.27,2238.98,2372.39,1670.53,,4635.59,No encontrado
feed,white_sorghum_grain,13.00,1.30,8.90,,3.00,2.70,8.80,2770.00,1800.00,1915.00,1320.00,87.00,1.49,10.23,0.00,3.45,3.10,10.11,3183.91,2068.97,2201.15,1517.24,,4420.80,No encontrado
feed,wheat_soft_national_12_9_cp,10.30,1.80,12.90,,1.40,0.98,10.80,2850.00,1870.00,1965.00,1350.00,89.70,2.01,14.38,0.00,1.56,1.09,12.04,3177.26,2084.73,2190.64,1505.02,85.70,4354.83,wheat_soft_national_12_9_cp
feed,wheat_soft_national_11_2_cp,10.90,1.60,11.20,,1.40,0.98,10.60,2800.00,1810.00,1930.00,1320.00,89.10,1.80,12.57,0.00,1.57,1.10,11.90,3142.54,2031.43,2166.11,1481.48,,4337.53,No encontrado
feed,wheat_soft_national_10_2_cp,11.50,1.50,10.20,,1.40,0.98,10.30,2785.00,1800.00,1920.00,1320.00,88.50,1.69,11.53,0.00,1.58,1.11,11.64,3146.89,2033.90,2169.49,1491.53,,4326.89,No encontrado
feed,wheat_soft_english,13.00,1.70,11.00,,1.60,1.12,9.30,2740.00,1780.00,1890.00,1300.00,87.00,1.95,12.64,0.00,1.84,1.29,10.69,3149.43,2045.98,2172.41,1494.25,,4346.67,No encontrado
feed,wheat_hard_national,10.00,1.60,13.80,,2.00,1.42,11.90,2800.00,1810.00,1930.00,1320.00,90.00,1.78,15.33,0.00,2.22,1.58,13.22,3111.11,2011.11,2144.44,1466.67,,4416.22,No encontrado
feed,triticale,10.50,1.70,10.70,,1.50,1.05,12.40,2795.00,1805.00,1925.00,1315.00,89.50,1.90,11.96,0.00,1.68,1.17,13.85,3122.91,2016.76,2150.84,1469.27,,4329.61,No encontrado
feed,rice_cooked,12.80,1.00,7.50,,1.00,0.85,2.50,3010.00,1970.00,2090.00,1475.00,87.20,1.15,8.60,0.00,1.15,0.97,2.87,3451.83,2259.17,2396.79,1691.51,,4282.78,No encontrado
feed,corn_heat_processed_national,13.80,1.10,7.30,,3.30,2.97,8.80,3000.00,1965.00,2085.00,1475.00,86.20,1.28,8.47,0.00,3.83,3.45,10.21,3480.28,2279.58,2418.79,1711.14,86.80,4425.27,corn_heat_processed_national
feed,white_sorghum_heat_processed,13.00,1.30,8.90,,3.00,2.70,8.80,2900.00,1890.00,2010.00,1410.00,87.00,1.49,10.23,0.00,3.45,3.10,10.11,3333.33,2172.41,2310.34,1620.69,,4420.80,No encontrado
feed,rice_bran_14_ee,10.30,8.30,13.80,,13.90,11.95,18.00,2650.00,1700.00,1820.00,1225.00,89.70,9.25,15.38,0.00,15.50,13.33,20.07,2954.29,1895.21,2028.99,1365.66,,4831.42,No encontrado
feed,rice_bran_high_fat_17_ee,10.20,8.60,13.60,,17.10,14.71,20.60,2680.00,1725.00,1845.00,1240.00,89.80,9.58,15.14,0.00,19.04,16.38,22.94,2984.41,1920.94,2054.57,1380.85,,5012.16,No encontrado
feed,rice_bran_defatted,9.90,11.60,14.80,,3.20,2.24,27.50,2310.00,1460.00,1570.00,1015.00,90.10,12.87,16.43,0.00,3.55,2.49,30.52,2563.82,1620.42,1742.51,1126.53,,4018.80,No encontrado
feed,barley_ddgs,8.10,5.00,24.90,,5.60,3.92,34.00,2510.00,1600.00,1715.00,1125.00,91.90,5.44,27.09,0.00,6.09,4.27,37.00,2731.23,1741.02,1866.16,1224.16,51.70,4648.27,barley_ddgs
feed,corn_ddgs_7_5_ee_6_8_starch,11.50,4.60,27.50,,7.50,5.85,33.20,2820.00,1825.00,1945.00,1340.00,88.50,5.20,31.07,0.00,8.47,6.61,37.51,3186.44,2062.15,2197.74,1514.12,,4851.98,No encontrado
feed,corn_ddgs_12_5_ee_3_5_starch,9.70,4.50,28.00,,12.50,9.75,32.30,3045.00,1985.00,2110.00,1480.00,90.30,4.98,31.01,0.00,13.84,10.80,35.77,3372.09,2198.23,2336.66,1638.98,83.50,5161.04,corn_ddgs_12_5_ee_3_5_starch
feed,corn_ddgs_12_5_ee_6_8_starch,9.60,4.00,27.40,,12.50,9.75,30.10,3070.00,2005.00,2130.00,1500.00,90.40,4.42,30.31,0.00,13.83,10.79,33.30,3396.02,2217.92,2356.19,1659.29,,5174.29,No encontrado
feed,sorghum_ddgs,9.40,4.70,30.20,,9.40,7.05,27.00,2720.00,1750.00,1870.00,1265.00,90.60,5.19,33.33,0.00,10.38,7.78,29.80,3002.21,1931.57,2064.02,1396.25,,4992.76,No encontrado
feed,wheat_ddgs,8.80,4.40,33.60,,4.80,3.36,29.00,2600.00,1660.00,1780.00,1185.00,91.20,4.82,36.84,0.00,5.26,3.68,31.80,2850.88,1820.18,1951.75,1299.34,,4775.09,No encontrado
feed,brewers_grains,8.50,3.60,24.30,,7.20,3.24,48.90,2700.00,1730.00,1850.00,1250.00,91.50,3.93,26.56,0.00,7.87,3.54,53.44,2950.82,1890.71,2021.86,1366.12,63.20,4805.90,brewers_grains
feed,corn_flour_6_ee,13.70,1.90,8.30,,6.00,4.80,16.50,2940.00,1920.00,2040.00,1435.00,86.30,2.20,9.62,0.00,6.95,5.56,19.12,3406.72,2224.80,2363.85,1662.80,,4576.73,No encontrado
feed,corn_gluten_feed_19_cp,11.20,6.90,19.00,,2.30,1.79,31.70,2695.00,1730.00,1850.00,1255.00,88.80,7.77,21.40,0.00,2.59,2.02,35.70,3034.91,1948.20,2083.33,1413.29,80.40,4264.10,corn_gluten_feed_19_cp
feed,corn_gluten_feed_20_5_cp,11.50,6.50,20.50,,2.60,2.03,31.60,2710.00,1745.00,1860.00,1270.00,88.50,7.34,23.16,0.00,2.94,2.29,35.71,3062.15,1971.75,2101.69,1435.03,80.40,4328.81,corn_gluten_feed_20_5_cp
feed,corn_gluten_meal_60,10.40,1.70,60.00,,2.70,2.16,6.10,3075.00,2010.00,2135.00,1505.00,89.60,1.90,66.96,0.00,3.01,2.41,6.81,3431.92,2243.30,2382.81,1679.69,,5229.73,No encontrado
feed,wheat_bran_15_starch,12.60,5.40,15.40,,3.30,2.38,40.30,2380.00,1510.00,1620.00,1065.00,87.40,6.18,17.62,0.00,3.78,2.72,46.11,2723.11,1727.69,1853.55,1218.54,,4343.89,No encontrado
feed,wheat_bran_20_starch,12.40,4.90,15.00,,3.40,2.45,37.10,2425.00,1540.00,1655.00,1095.00,87.60,5.59,17.12,0.00,3.88,2.79,42.35,2768.26,1757.99,1889.27,1250.00,71.40,4368.08,wheat_bran_20_starch
feed,wheat_middlings_25_starch,12.10,4.50,14.30,,3.50,2.52,33.90,2480.00,1580.00,1695.00,1125.00,87.90,5.12,16.27,0.00,3.98,2.87,38.57,2821.39,1797.50,1928.33,1279.86,71.90,4381.75,wheat_middlings_25_starch
feed,wheat_flour_30_starch,11.80,3.90,14.70,,3.50,2.52,29.20,2540.00,1625.00,1740.00,1160.00,88.20,4.42,16.67,0.00,3.97,2.86,33.11,2879.82,1842.40,1972.79,1315.19,,4417.66,No encontrado
feed,bakery_byproduct_2_5_ash,9.20,2.50,10.40,,9.50,9.31,7.50,3320.00,2190.00,2320.00,1670.00,90.80,2.75,11.45,0.00,10.46,10.25,8.26,3656.39,2411.89,2555.07,1839.21,,4776.56,No encontrado
feed,bakery_byproduct_6_ash,10.40,6.00,10.70,,7.60,7.45,12.00,3075.00,2010.00,2135.00,1500.00,89.60,6.70,11.94,0.00,8.48,8.31,13.39,3431.92,2243.30,2382.81,1674.11,,4499.49,No encontrado
feed,bread_byproduct,7.90,2.60,13.00,,2.70,2.62,7.90,3000.00,1950.00,2075.00,1440.00,92.10,2.82,14.12,0.00,2.93,2.84,8.58,3257.33,2117.26,2252.99,1563.52,,4391.68,No encontrado
feed,malt_rootlets_barley_sprouts,9.50,6.50,19.10,,1.50,0.90,40.20,2540.00,1620.00,1735.00,1150.00,90.50,7.18,21.10,0.00,1.66,0.99,44.42,2806.63,1790.06,1917.13,1270.72,,4233.37,No encontrado
feed,whole_acorn,37.50,1.60,2.60,,4.80,4.32,18.60,1715.00,1090.00,1170.00,770.00,62.50,2.56,4.16,0.00,7.68,6.91,29.76,2744.00,1744.00,1872.00,1232.00,,4519.84,No encontrado
feed,acorn_decorticated,42.80,1.20,3.20,,5.30,4.77,7.50,1900.00,1240.00,1315.00,920.00,57.20,2.10,5.59,0.00,9.27,8.34,13.11,3321.68,2167.83,2298.95,1608.39,,4650.49,No encontrado
feed,tapioca_62_5,11.60,6.10,2.40,,0.50,0.20,10.50,2500.00,1620.00,1710.00,1135.00,88.40,6.90,2.71,0.00,0.57,0.23,11.88,2828.05,1832.58,1934.39,1283.94,,3908.78,No encontrado
