diet_tag,subregion,ingredient,ingredient_share,ingredient_type,region,animal_type,animal_subtype
diet_dairy_calves_replacement,a,corn_national,42.70,feed,spain,cattle,dairy
diet_dairy_calves_replacement,a,corn_gluten_feed_20_5_cp,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,a,barley_2_rows_national_11_3_cp,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,a,wheat_soft_national_12_9_cp,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,a,wheat_middlings_25_starch,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,a,soybean_meal_44_cp,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,a,soybean_meal_47_cp,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,a,soybean_hulls_12_cp,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,a,rapeseed_meal_00_33_cp,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,a,sunflower_meal_32_cp,55.60,feed,spain,cattle,dairy
diet_dairy_calves_replacement,a,out_hulls,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,a,beet_pulp_4_ash,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,a,molasses_beet,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,a,cotton_seed_whole,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,a,brewers_grains,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,a,brewery_yeast,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,a,sodium_bicarbonate,1.70,feed,spain,cattle,dairy
diet_dairy_calves_replacement,a,calcium_carbonate,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,a,sodium_chloride_mine_92,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,a,potassium_carbonate,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,a,sodium_sulfate,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,a,Vitamin/mineral_supplement,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,a,mg_oxide_calcined_magnesite,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,a,urea,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,a,mixed_calcium_soaps,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,a,straw_cereals_wheat_and_barley,23.90,forage,spain,cattle,dairy
diet_dairy_calves_replacement,a,alfalfa_hay_first,0.00,forage,spain,cattle,dairy
diet_dairy_calves_replacement,a,ryegrass_hay_second,0.00,forage,spain,cattle,dairy
diet_dairy_calves_replacement,a,corn_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_calves_replacement,a,ryegrass_silage_second,76.10,forage,spain,cattle,dairy
diet_dairy_calves_replacement,a,cereals_silage_wheat_barley_oat_triticale,0.00,forage,spain,cattle,dairy
diet_dairy_calves_replacement,a,wheat_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_calves_replacement,a,barley_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_calves_replacement,a,oat_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_calves_replacement,a,triticale_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_calves_replacement,a,sorghum_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_calves_replacement,a,alfalfa_silage,0.00,forage,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,corn_national,41.10,feed,spain,cattle,dairy
