"animal_type","animal_subtype","zone","code","cp","de","ash","ndf"
"Cattle","Beef","Dehesa","k10",10.552,62.1528,10.8344,60.63456
"Cattle","Beef","Dehesa","k12",10.552,62.1528,10.8344,60.63456
"Cattle","Beef","Dehesa","k14",10.552,62.1528,10.8344,60.63456
"Cattle","Beef","Dehesa","k15",10.552,62.1528,10.8344,60.63456
"Cattle","Beef","Dehesa","k18",10.552,62.1528,10.8344,60.63456
"Cattle","Beef","Dehesa","k19",10.552,62.1528,10.8344,60.63456
"Cattle","Beef","Dehesa","k22",10.552,62.1528,10.8344,60.63456
"Cattle","Beef","Dehesa","k24",10.552,62.1528,10.8344,60.63456
"Cattle","Beef","Dehesa","k3",34.9,98,7.96,0
"Cattle","Beef","Dehesa","k5",34.9,98,7.96,0
"Cattle","Beef","Dehesa","k7",10.552,62.1528,10.8344,60.63456
"Cattle","Beef","Dehesa","k8",10.552,62.1528,10.8344,60.63456
"Cattle","Beef","España húmeda","k10",12,62.7,13.2,52.1
"Cattle","Beef","España húmeda","k12",12,62.7,13.2,52.1
"Cattle","Beef","España húmeda","k14",12,62.7,13.2,52.1
"Cattle","Beef","España húmeda","k15",12,62.7,13.2,52.1
"Cattle","Beef","España húmeda","k18",12,62.7,13.2,52.1
"Cattle","Beef","España húmeda","k19",12,62.7,13.2,52.1
"Cattle","Beef","España húmeda","k22",12,62.7,13.2,52.1
"Cattle","Beef","España húmeda","k24",12,62.7,13.2,52.1
"Cattle","Beef","España húmeda","k3",34.9,98,7.96,0
"Cattle","Beef","España húmeda","k5",34.9,98,7.96,0
"Cattle","Beef","España húmeda","k7",12,62.7,13.2,52.1
"Cattle","Beef","España húmeda","k8",12,62.7,13.2,52.1
"Cattle","Beef","Montaña","k10",13.28635109,60.666536754,10.9620052004,52.1781094452
"Cattle","Beef","Montaña","k12",13.28635109,60.666536754,10.9620052004,52.1781094452
"Cattle","Beef","Montaña","k14",13.28635109,60.666536754,10.9620052004,52.1781094452
"Cattle","Beef","Montaña","k15",13.28635109,60.666536754,10.9620052004,52.1781094452
"Cattle","Beef","Montaña","k18",13.28635109,60.666536754,10.9620052004,52.1781094452
"Cattle","Beef","Montaña","k19",13.28635109,60.666536754,10.9620052004,52.1781094452
"Cattle","Beef","Montaña","k22",13.28635109,60.666536754,10.9620052004,52.1781094452
"Cattle","Beef","Montaña","k24",13.28635109,60.666536754,10.9620052004,52.1781094452
"Cattle","Beef","Montaña","k3",34.083212908,96.935832148,7.76722512,0.96038639
"Cattle","Beef","Montaña","k5",34.083212908,96.935832148,7.76722512,0.96038639
"Cattle","Beef","Montaña","k7",13.28635109,60.666536754,10.9620052004,52.1781094452
"Cattle","Beef","Montaña","k8",13.28635109,60.666536754,10.9620052004,52.1781094452
"Cattle","Dairy","A","k13",14.0398448,63.5,8.525696,49.290492
"Cattle","Dairy","A","k16",13.8310208,60.36764,8.257208,45.516744
"Cattle","Dairy","A","k17",13.8310208,60.36764,8.257208,45.516744
"Cattle","Dairy","A","k20",0,0,0,0
"Cattle","Dairy","A","k21",0,0,0,0
"Cattle","Dairy","A","k23",16.403305,73.19335,7.692945,35.174505
"Cattle","Dairy","A","k9",15.840082,66.2948,8.84788,46.21208
"Cattle","Dairy","B","k13",22.6119298,72.727126,11.045786,49.8607728
"Cattle","Dairy","B","k16",22.6119298,72.727126,11.045786,49.8607728
"Cattle","Dairy","B","k17",22.6119298,72.727126,11.045786,49.8607728
"Cattle","Dairy","B","k20",0,0,0,0
"Cattle","Dairy","B","k21",0,0,0,0
"Cattle","Dairy","B","k23",17.139065,71.6935,7.25884,33.11862
"Cattle","Dairy","B","k9",17.9864305,66.3023,9.6270825,43.61929
"Cattle","Feedlot","","k1",15.2694761278,76.985662678,6.588501346,26.716401896
"Cattle","Feedlot","","k11",13.696657,78.5367164,6.539186,26.8398824
"Cattle","Feedlot","","k2",15.2812290174,76.965528,6.588288238,26.667162972
"Cattle","Feedlot","","k4",14.7267979578,78.168953874,6.749432038,29.167854264
"Cattle","Feedlot","","k6",14.7308897536,78.128357344,6.762660784,29.251826576
