diet_tag,region,subregion,class_flex,ingredient,ingredient_share,ingredient_type
diet_dairy_mature,spain,south,lactation_phase,corn_national,44.85,concentrate
diet_dairy_mature,spain,south,lactation_phase,corn_gluten_feed_20_5_cp,0,concentrate
diet_dairy_mature,spain,south,lactation_phase,barley_2_rows_national_11_3_cp,0,concentrate
diet_dairy_mature,spain,south,lactation_phase,wheat_soft_national_12_9_cp,0,concentrate
diet_dairy_mature,spain,south,lactation_phase,wheat_middlings_25_starch,0,concentrate
diet_dairy_mature,spain,south,lactation_phase,soybean_meal_44_cp,17.12,concentrate
diet_dairy_mature,spain,south,lactation_phase,soybean_meal_47_cp,0,concentrate
diet_dairy_mature,spain,south,lactation_phase,soybean_hulls_12_cp,0,concentrate
diet_dairy_mature,spain,south,lactation_phase,rapeseed_meal_00_33_cp,28.71,concentrate
diet_dairy_mature,spain,south,lactation_phase,sunflower_meal_32_cp,0,concentrate
diet_dairy_mature,spain,south,lactation_phase,oat_hulls,0,concentrate
diet_dairy_mature,spain,south,lactation_phase,beet_pulp_4_ash,0,concentrate
diet_dairy_mature,spain,south,lactation_phase,molasses_beet,0,concentrate
diet_dairy_mature,spain,south,lactation_phase,cotton_seed_whole,0,concentrate
diet_dairy_mature,spain,south,lactation_phase,brewers_grains,0,concentrate
diet_dairy_mature,spain,south,lactation_phase,brewery_yeast,0,concentrate
diet_dairy_mature,spain,south,lactation_phase,sodium_bicarbonate,2.26,concentrate
diet_dairy_mature,spain,south,lactation_phase,calcium_carbonate,2.11,concentrate
diet_dairy_mature,spain,south,lactation_phase,sodium_chloride_mine_92,0.42,concentrate
diet_dairy_mature,spain,south,lactation_phase,potassium_carbonate,0.94,concentrate
diet_dairy_mature,spain,south,lactation_phase,sodium_sulfate,0,concentrate
diet_dairy_mature,spain,south,lactation_phase,Vitamin/mineral_supplement,1.12,concentrate
diet_dairy_mature,spain,south,lactation_phase,mg_oxide_calcined_magnesite,0.34,concentrate
diet_dairy_mature,spain,south,lactation_phase,urea,1.01,concentrate
diet_dairy_mature,spain,south,lactation_phase,mixed_calcium_soaps,1.13,concentrate
diet_dairy_mature,spain,south,lactation_phase,straw_cereals_wheat_and_barley,0,forage
diet_dairy_mature,spain,south,lactation_phase,alfalfa_hay_first,0,forage
diet_dairy_mature,spain,south,lactation_phase,ryegrass_hay_second,0,forage
diet_dairy_mature,spain,south,lactation_phase,corn_silage_25_30,71.4,forage
diet_dairy_mature,spain,south,lactation_phase,ryegrass_silage_second,0,forage
diet_dairy_mature,spain,south,lactation_phase,cereals_silage_wheat_barley_oat_triticale,28.6,forage
diet_dairy_mature,spain,south,lactation_phase,wheat_silage_25_30,0,forage
diet_dairy_mature,spain,south,lactation_phase,barley_silage_25_30,0,forage
diet_dairy_mature,spain,south,lactation_phase,oat_silage_25_30,0,forage
diet_dairy_mature,spain,south,lactation_phase,triticale_silage_25_30,0,forage
diet_dairy_mature,spain,south,lactation_phase,sorghum_silage_25_30,0,forage
diet_dairy_mature,spain,south,lactation_phase,alfalfa_silage,0,forage
diet_dairy_mature,spain,north,lactation_phase,corn_national,15.9,concentrate
diet_dairy_mature,spain,north,lactation_phase,corn_gluten_feed_20_5_cp,0,concentrate
diet_dairy_mature,spain,north,lactation_phase,barley_2_rows_national_11_3_cp,42.4,concentrate
diet_dairy_mature,spain,north,lactation_phase,wheat_soft_national_12_9_cp,0,concentrate
