Area,ingredient,Year,Value
Afghanistan,Alfalfa for forage and silage,2020,2212.5
Afghanistan,"Beet, for forage",2020,9916.73076923077
Afghanistan,"Cabbage, for forage",2020,7986.25
Afghanistan,"Clover, for forage",2020,6082.0999999999995
Afghanistan,"Hay for forage, from grasses",2020,1075.8333333333333
Afghanistan,Maize for forage and silage,2020,9080.849056603773
Afghanistan,"Mixed grass and legumes, for forage",2020,3256.666666666667
Afghanistan,"Other forage crops, n.e.c.",2020,5560
Afghanistan,"Other forage products, n.e.c.",2020,3735
Afghanistan,"Other grasses, for forage",2020,3898.815789473684
Afghanistan,"Other legumes, for forage",2020,3793.5000000000005
Afghanistan,"Rye grass, for forage",2020,5695.357142857142
Afghanistan,"Sorghum, for forage",2020,7070.833333333334
Afghanistan,"Swedes, for forage",2020,3750
Afghanistan,"Turnips, for forage",2020,6551.875
Albania,Alfalfa for forage and silage,2020,3966.111111111111
Albania,"Beet, for forage",2020,3359.375
Albania,"Cabbage, for forage",2020,5302.5
Albania,"Clover, for forage",2020,2976.785714285714
Albania,"Hay for forage, from grasses",2020,1075.8333333333333
Albania,Maize for forage and silage,2020,8548.863636363636
Albania,"Mixed grass and legumes, for forage",2020,3256.666666666667
Albania,"Other forage crops, n.e.c.",2020,1072.5
Albania,"Other forage products, n.e.c.",2020,1191.25
Albania,"Other grasses, for forage",2020,1914.1666666666665
Albania,"Other legumes, for forage",2020,2776.25
Albania,"Rye grass, for forage",2020,7417.5
Albania,"Sorghum, for forage",2020,5620
Albania,"Swedes, for forage",2020,3750
Albania,"Turnips, for forage",2020,4467.5
Algeria,Alfalfa for forage and silage,2020,3902.5
Algeria,"Beet, for forage",2020,9916.73076923077
Algeria,"Cabbage, for forage",2020,7986.25
Algeria,"Clover, for forage",2020,11322.5
Algeria,"Hay for forage, from grasses",2020,1075.8333333333333
Algeria,Maize for forage and silage,2020,6660
Algeria,"Mixed grass and legumes, for forage",2020,3256.666666666667
Algeria,"Other forage crops, n.e.c.",2020,3519
Algeria,"Other forage products, n.e.c.",2020,855
Algeria,"Other grasses, for forage",2020,3898.815789473684
Algeria,"Other legumes, for forage",2020,3793.5000000000005
Algeria,"Rye grass, for forage",2020,5695.357142857142
Algeria,"Sorghum, for forage",2020,7070.833333333334
Algeria,"Swedes, for forage",2020,3750
Algeria,"Turnips, for forage",2020,6551.875
Angola,Alfalfa for forage and silage,2020,5918.851351351352
Angola,"Beet, for forage",2020,9916.73076923077
Angola,"Cabbage, for forage",2020,7986.25
Angola,"Clover, for forage",2020,6082.0999999999995
Angola,"Hay for forage, from grasses",2020,1075.8333333333333
Angola,Maize for forage and silage,2020,9080.849056603773
Angola,"Mixed grass and legumes, for forage",2020,3256.666666666667
Angola,"Other forage crops, n.e.c.",2020,3519
Angola,"Other forage products, n.e.c.",2020,4265.333333333333
Angola,"Other grasses, for forage",2020,3898.815789473684
Angola,"Other legumes, for forage",2020,3793.5000000000005
Angola,"Rye grass, for forage",2020,5695.357142857142
Angola,"Sorghum, for forage",2020,7070.833333333334
Angola,"Swedes, for forage",2020,3750
Angola,"Turnips, for forage",2020,6551.875
Antigua and Barbuda,Alfalfa for forage and silage,2020,5918.851351351352
Antigua and Barbuda,"Beet, for forage",2020,9916.73076923077
Antigua and Barbuda,"Cabbage, for forage",2020,7986.25
Antigua and Barbuda,"Clover, for forage",2020,6082.0999999999995
Antigua and Barbuda,"Hay for forage, from grasses",2020,1075.8333333333333
Antigua and Barbuda,Maize for forage and silage,2020,9080.849056603773
Antigua and Barbuda,"Mixed grass and legumes, for forage",2020,3256.666666666667
Antigua and Barbuda,"Other forage crops, n.e.c.",2020,3519
Antigua and Barbuda,"Other forage products, n.e.c.",2020,4265.333333333333
Antigua and Barbuda,"Other grasses, for forage",2020,3898.815789473684
Antigua and Barbuda,"Other legumes, for forage",2020,3793.5000000000005
Antigua and Barbuda,"Rye grass, for forage",2020,5695.357142857142
Antigua and Barbuda,"Sorghum, for forage",2020,7070.833333333334
Antigua and Barbuda,"Swedes, for forage",2020,3750
Antigua and Barbuda,"Turnips, for forage",2020,6551.875
Azerbaijan,Alfalfa for forage and silage,2020,8195.227272727272
Azerbaijan,"Beet, for forage",2020,12585
Azerbaijan,"Cabbage, for forage",2020,7986.25
Azerbaijan,"Clover, for forage",2020,9276.5
Azerbaijan,"Hay for forage, from grasses",2020,1252.5
Azerbaijan,Maize for forage and silage,2020,10732
Azerbaijan,"Mixed grass and legumes, for forage",2020,4455
Azerbaijan,"Other forage crops, n.e.c.",2020,2591.25
Azerbaijan,"Other forage products, n.e.c.",2020,3145
Azerbaijan,"Other grasses, for forage",2020,4383.333333333333
Azerbaijan,"Other legumes, for forage",2020,2476.2500000000005
Azerbaijan,"Rye grass, for forage",2020,2787.5
Azerbaijan,"Sorghum, for forage",2020,4611.666666666667
Azerbaijan,"Swedes, for forage",2020,3750
Azerbaijan,"Turnips, for forage",2020,12750
Argentina,Alfalfa for forage and silage,2020,5490
Argentina,"Beet, for forage",2020,9916.73076923077
Argentina,"Cabbage, for forage",2020,7986.25
Argentina,"Clover, for forage",2020,8560
Argentina,"Hay for forage, from grasses",2020,1075.8333333333333
Argentina,Maize for forage and silage,2020,12805
Argentina,"Mixed grass and legumes, for forage",2020,3256.666666666667
Argentina,"Other forage crops, n.e.c.",2020,3519
Argentina,"Other forage products, n.e.c.",2020,5997.5
Argentina,"Other grasses, for forage",2020,3960
Argentina,"Other legumes, for forage",2020,3793.5000000000005
Argentina,"Rye grass, for forage",2020,10087.5
Argentina,"Sorghum, for forage",2020,11522.5
Argentina,"Swedes, for forage",2020,3750
Argentina,"Turnips, for forage",2020,6551.875
Australia,Alfalfa for forage and silage,2020,5918.851351351352
Australia,"Beet, for forage",2020,9916.73076923077
Australia,"Cabbage, for forage",2020,7986.25
Australia,"Clover, for forage",2020,6082.0999999999995
Australia,"Hay for forage, from grasses",2020,1075.8333333333333
Australia,Maize for forage and silage,2020,9080.849056603773
Australia,"Mixed grass and legumes, for forage",2020,3256.666666666667
Australia,"Other forage crops, n.e.c.",2020,3519
Australia,"Other forage products, n.e.c.",2020,4265.333333333333
Australia,"Other grasses, for forage",2020,3898.815789473684
Australia,"Other legumes, for forage",2020,3793.5000000000005
Australia,"Rye grass, for forage",2020,5695.357142857142
Australia,"Sorghum, for forage",2020,7070.833333333334
Australia,"Swedes, for forage",2020,3750
Australia,"Turnips, for forage",2020,6551.875
Austria,Alfalfa for forage and silage,2020,2627.5
Austria,"Beet, for forage",2020,13865
Austria,"Cabbage, for forage",2020,10670
Austria,"Clover, for forage",2020,1805
Austria,"Hay for forage, from grasses",2020,1075.8333333333333
Austria,Maize for forage and silage,2020,15662.500000000002
Austria,"Mixed grass and legumes, for forage",2020,3256.666666666667
Austria,"Other forage crops, n.e.c.",2020,3519
Austria,"Other forage products, n.e.c.",2020,11291.25
Austria,"Other grasses, for forage",2020,6487.5
Austria,"Other legumes, for forage",2020,3793.5000000000005
Austria,"Rye grass, for forage",2020,1680
Austria,"Sorghum, for forage",2020,7070.833333333334
Austria,"Swedes, for forage",2020,3750
Austria,"Turnips, for forage",2020,6551.875
Bahamas,Alfalfa for forage and silage,2020,5918.851351351352
Bahamas,"Beet, for forage",2020,9916.73076923077
Bahamas,"Cabbage, for forage",2020,7986.25
Bahamas,"Clover, for forage",2020,6082.0999999999995
Bahamas,"Hay for forage, from grasses",2020,1075.8333333333333
Bahamas,Maize for forage and silage,2020,9080.849056603773
Bahamas,"Mixed grass and legumes, for forage",2020,3256.666666666667
Bahamas,"Other forage crops, n.e.c.",2020,3519
Bahamas,"Other forage products, n.e.c.",2020,4265.333333333333
Bahamas,"Other grasses, for forage",2020,3898.815789473684
Bahamas,"Other legumes, for forage",2020,3793.5000000000005
Bahamas,"Rye grass, for forage",2020,5695.357142857142
Bahamas,"Sorghum, for forage",2020,7070.833333333334
Bahamas,"Swedes, for forage",2020,3750
