system_base,system_variant,management_months,system_climate,system_subclimate,climate_zone,climate_moisture,animal_type,animal_subtype,MCF_pct,EF3,EF4,EF5,frac_gas,frac_leach
anaerobic_lagoon,uncovered,,cool,temperate,zone_moist,wet,cattle,dairy,60,0,0.014,0.011,0.35,0
anaerobic_lagoon,uncovered,,cool,temperate,zone_dry,dry,cattle,dairy,67,0,0.005,0.011,0.35,0
anaerobic_lagoon,uncovered,,cool,boreal,zone_moist,wet,cattle,dairy,50,0,0.014,0.011,0.35,0
anaerobic_lagoon,uncovered,,cool,boreal,zone_dry,dry,cattle,dairy,49,0,0.005,0.011,0.35,0
anaerobic_lagoon,uncovered,,warm,temperate,zone_moist,wet,cattle,dairy,73,0,0.014,0.011,0.35,0
anaerobic_lagoon,uncovered,,warm,temperate,zone_dry,dry,cattle,dairy,76,0,0.005,0.011,0.35,0
anaerobic_lagoon,uncovered,,warm,tropical,zone_montane,wet,cattle,dairy,76,0,0.014,0.011,0.35,0
anaerobic_lagoon,uncovered,,warm,tropical,zone_wet,wet,cattle,dairy,80,0,0.014,0.011,0.35,0
anaerobic_lagoon,uncovered,,warm,tropical,zone_moist,wet,cattle,dairy,80,0,0.014,0.011,0.35,0
anaerobic_lagoon,uncovered,,warm,tropical,zone_dry,dry,cattle,dairy,80,0,0.005,0.011,0.35,0
liquid_slurry,with_natural_crust_cover,1,cool,temperate,zone_moist,wet,cattle,dairy,6,0.005,0.014,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,1,cool,temperate,zone_dry,dry,cattle,dairy,8,0.005,0.005,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,1,cool,boreal,zone_moist,wet,cattle,dairy,4,0.005,0.014,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,1,cool,boreal,zone_dry,dry,cattle,dairy,4,0.005,0.005,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,1,warm,temperate,zone_moist,wet,cattle,dairy,13,0.005,0.014,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,1,warm,temperate,zone_dry,dry,cattle,dairy,15,0.005,0.005,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,1,warm,tropical,zone_montane,wet,cattle,dairy,25,0.005,0.014,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,1,warm,tropical,zone_wet,wet,cattle,dairy,38,0.005,0.014,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,1,warm,tropical,zone_moist,wet,cattle,dairy,36,0.005,0.014,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,1,warm,tropical,zone_dry,dry,cattle,dairy,42,0.005,0.005,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,3,cool,temperate,zone_moist,wet,cattle,dairy,12,0.005,0.014,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,3,cool,temperate,zone_dry,dry,cattle,dairy,16,0.005,0.005,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,3,cool,boreal,zone_moist,wet,cattle,dairy,8,0.005,0.014,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,3,cool,boreal,zone_dry,dry,cattle,dairy,8,0.005,0.005,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,3,warm,temperate,zone_moist,wet,cattle,dairy,24,0.005,0.014,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,3,warm,temperate,zone_dry,dry,cattle,dairy,28,0.005,0.005,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,3,warm,tropical,zone_montane,wet,cattle,dairy,43,0.005,0.014,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,3,warm,tropical,zone_wet,wet,cattle,dairy,61,0.005,0.014,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,3,warm,tropical,zone_moist,wet,cattle,dairy,57,0.005,0.014,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,3,warm,tropical,zone_dry,dry,cattle,dairy,62,0.005,0.005,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,4,cool,temperate,zone_moist,wet,cattle,dairy,15,0.005,0.014,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,4,cool,temperate,zone_dry,dry,cattle,dairy,19,0.005,0.005,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,4,cool,boreal,zone_moist,wet,cattle,dairy,9,0.005,0.014,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,4,cool,boreal,zone_dry,dry,cattle,dairy,9,0.005,0.005,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,4,warm,temperate,zone_moist,wet,cattle,dairy,29,0.005,0.014,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,4,warm,temperate,zone_dry,dry,cattle,dairy,32,0.005,0.005,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,4,warm,tropical,zone_montane,wet,cattle,dairy,50,0.005,0.014,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,4,warm,tropical,zone_wet,wet,cattle,dairy,67,0.005,0.014,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,4,warm,tropical,zone_moist,wet,cattle,dairy,64,0.005,0.014,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,4,warm,tropical,zone_dry,dry,cattle,dairy,68,0.005,0.005,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,6,cool,temperate,zone_moist,wet,cattle,dairy,21,0.005,0.014,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,6,cool,temperate,zone_dry,dry,cattle,dairy,26,0.005,0.005,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,6,cool,boreal,zone_moist,wet,cattle,dairy,14,0.005,0.014,0.011,0.3,0
liquid_slurry,with_natural_crust_cover,6,cool,boreal,zone_dry,dry,cattle,dairy,14,0.005,0.005,0.011,0.3,0
