identification,management_system,management_duration,climate,animal_type,animal_subtype
feedlot_calves_male,solid_storage,12,,cattle,feedlot
feedlot_calves_female,solid_storage,12,,cattle,feedlot
beef_calves_male,pasture_range_paddock,9,wet,cattle,beef
beef_calves_male,solid_storage,3,,cattle,beef
beef_calves_female,pasture_range_paddock,9,wet,cattle,beef
beef_calves_female,solid_storage,3,,cattle,beef
beef_calves_male_replacement,pasture_range_paddock,9,wet,cattle,beef
beef_calves_male_replacement,solid_storage,3,,cattle,beef
beef_calves_female_replacement,pasture_range_paddock,9,wet,cattle,beef
beef_calves_female_replacement,solid_storage,3,,cattle,beef
dairy_calves_female_replacement,solid_storage,12,,cattle,dairy
beef_yearlings_male_replacement,pasture_range_paddock,9,wet,cattle,beef
beef_yearlings_male_replacement,solid_storage,3,,cattle,beef
beef_yearlings_female_replacement,pasture_range_paddock,9,wet,cattle,beef
beef_yearlings_female_replacement,solid_storage,3,,cattle,beef
dairy_yearlings_female_replacement,solid_storage,12,,cattle,dairy
mature_beef_bull,pasture_range_paddock,9,wet,cattle,beef
mature_beef_bull,solid_storage,3,,cattle,beef
mature_dairy_cattle,liquid_slurry_without_natural_trust_cover,12,,cattle,dairy
mature_beef_cattle,pasture_range_paddock,9,wet,cattle,beef
mature_beef_cattle,solid_storage,3,,cattle,beef
lamb_dairy_slaughter,solid_storage,12,,sheep,dairy
lamb_meat_slaughter,solid_storage,12,,sheep,meat
lamb_male_dairy_replacement,pasture_range_paddock,12,wet,sheep,dairy
lamb_male_meat_replacement,pasture_range_paddock,12,wet,sheep,meat
mature_sheep_male_dairy,pasture_range_paddock,12,wet,sheep,dairy
mature_sheep_male_meat,pasture_range_paddock,12,wet,sheep,meat
lamb_female_dairy_replacement,pasture_range_paddock,12,wet,sheep,dairy
lamb_female_meat_replacement,pasture_range_paddock,12,wet,sheep,meat
mature_sheep_female_dairy,pasture_range_paddock,12,wet,sheep,dairy
mature_sheep_female_meat,pasture_range_paddock,12,wet,sheep,meat
kid_goat_male_dairy_replacement,pasture_range_paddock,12,wet,goat,dairy
kid_goat_male_meat_replacement,pasture_range_paddock,12,wet,goat,meat
mature_goat_male_dairy,pasture_range_paddock,12,wet,goat,dairy
mature_goat_male_meat,pasture_range_paddock,12,wet,goat,meat
kid_goat_female_dairy_replacement,pasture_range_paddock,12,wet,goat,dairy
kid_goat_female_meat_replacement,pasture_range_paddock,12,wet,goat,meat
mature_goat_female_dairy,pasture_range_paddock,12,wet,goat,dairy
mature_goat_female_meat,pasture_range_paddock,12,wet,goat,meat
