identification,adult_weight,birth_weight,initial_weight,final_weight,wf-wi,ei,ef,productive_period,weight_gain,average_weight,animal_type,animal_subtype
feedlot_calves_male,950.00,45.00,45.00,400.00,355.00,,,336.00,1.06,222.50,cattle,feedlot
feedlot_calves_female,675.00,40.00,40.00,350.00,310.00,,,300.00,1.03,195.00,cattle,feedlot
beef_calves_male,994.33,39.90,39.90,200.00,160.10,,,183.00,0.87,119.95,cattle,beef
beef_calves_female,994.33,37.07,37.07,180.00,142.93,,,183.00,0.78,108.53,cattle,beef
beef_calves_male_replacement,974.67,39.23,39.23,536.07,496.83,,,365.00,1.36,287.65,cattle,beef
beef_calves_female_replacement,642.00,36.43,36.43,353.10,316.67,,,365.00,0.87,194.77,cattle,beef
dairy_calves_female_replacement,675.00,40.00,40.00,371.25,331.25,,,365.00,0.91,205.63,cattle,dairy
beef_yearlings_male_replacement,974.67,,536.07,779.73,243.67,,,365.00,0.67,657.90,cattle,beef
beef_yearlings_female_replacement,642.00,,353.10,513.60,160.50,,,365.00,0.44,433.35,cattle,beef
dairy_yearlings_female_replacement,675.00,,371.25,445.50,74.25,,,91.00,0.82,408.38,cattle,dairy
mature_beef_bull,974.67,,974.67,974.67,0.00,,,365.00,0.00,974.67,cattle,beef
mature_dairy_cattle,675.00,,675.00,675.00,0.00,,,365.00,0.00,675.00,cattle,dairy
mature_beef_cattle,642.00,,642.00,642.00,0.00,,,365.00,0.00,642.00,cattle,beef
lamb_female_dairy_replacement,,,4.00,11.00,7.00,0.00,25.00,25.00,0.28,7.50,sheep,dairy
lamb_dairy_slaughter,,,4.00,28.46,24.46,0.00,103.00,103.00,0.24,16.23,sheep,dairy
lamb_female_meat_replacement,,,3.45,11.00,7.55,0.00,35.00,35.00,0.22,7.23,sheep,meat
lamb_meat_slaughter,,,11.00,22.91,11.91,35.00,86.17,51.17,0.23,16.96,sheep,meat
lamb_male_dairy_replacement,,,11.00,60.00,49.00,25.00,365.00,340.00,0.14,35.50,sheep,dairy
lamb_male_meat_replacement,,,11.00,36.00,25.00,35.00,365.00,330.00,0.08,23.50,sheep,meat
mature_sheep_male_dairy,,,60.00,75.00,15.00,,,365.00,0.04,67.50,sheep,dairy
mature_sheep_male_meat,,,36.00,45.00,9.00,,,365.00,0.02,40.50,sheep,meat
mature_sheep_female_dairy,,,55.00,55.00,0.00,,,365.00,0.00,55.00,sheep,dairy
mature_sheep_female_meat,,,32.50,32.50,0.00,,,365.00,0.00,32.50,sheep,meat
kid_goat_male_dairy_replacement,,,12.00,62.50,50.50,0.00,300.00,300.00,0.17,37.25,goat,dairy
kid_goat_male_meat_replacement,,,12.00,62.50,50.50,0.00,365.00,365.00,0.14,37.25,goat,meat
mature_goat_male_dairy,,,65.00,65.00,0.00,,,365.00,0.00,65.00,goat,dairy
mature_goat_male_meat,,,62.50,62.50,0.00,,,365.00,0.00,62.50,goat,meat
kid_goat_female_dairy_replacement,,,8.00,42.50,34.50,0.00,300.00,300.00,0.12,25.25,goat,dairy
kid_goat_female_meat_replacement,,,12.00,34.00,22.00,0.00,365.00,365.00,0.06,23.00,goat,meat
mature_goat_female_dairy,,,50.00,50.00,0.00,,,365.00,0.00,50.00,goat,dairy
mature_goat_female_meat,,,42.50,42.50,0.00,,,365.00,0.00,42.50,goat,meat
